,X1,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,time,stock,sub_vector,relation_vector,obj_vector
1,0,0.995174482,0.994872381,0.994852251,0.995119316,0.99518525,0.995083792,0.995280688,0.995217051,0.995074191,0.995451716,0.994988378,0.995456306,0.995256244,0.99511853,0.995234433,0.994989302,0.995352272,0.995318917,0.995304241,0.994926156,0.99501372,0.995202948,0.995423117,0.994750892,0.994862631,0.994926504,0.995183303,0.994865396,0.995224739,0.995122014,0.995019523,0.995375102,0.994983143,0.995228152,0.994997912,0.995114523,0.995038961,0.995277328,0.995064204,0.995048021,0.995050061,0.995000537,0.995039781,0.994937593,0.994844207,0.995370229,0.995254595,0.995323952,0.99501596,0.995103162,2020/3/20,0,Federal student loan borrowers,can suspend,payments
2,1,0.008506911,0.01424596,-0.02058171,-0.009897245,-0.020034515,0.010638831,-0.009300901,0.000727539,0.001723974,0.001942924,-0.01373154,-0.000434426,0.010802021,0.009787108,-0.001190569,-0.002650737,-0.02064303,-0.004059404,-0.021734832,0.006952277,-0.008702475,-0.019365239,-0.013926213,-0.00677078,-0.021410049,0.022806704,-0.003274381,-0.005984872,0.020675945,-0.021082478,7.16E-05,-0.006243903,-0.020904311,-0.003536463,0.005578073,-0.013616171,-0.013672706,-0.026559164,-0.008118422,-0.023062696,0.014008704,-0.003486713,-0.020006512,0.002933645,-0.02208681,0.001810722,-0.010394738,0.008157202,0.01728457,-0.002098869,2020/4/1,0,candidates,vie,militarys
3,2,0.419481246,0.443994752,0.411269784,0.378595138,0.395521693,0.456822771,0.418973023,0.407678095,0.429086018,0.39380095,0.394332672,0.419298108,0.451173348,0.433332703,0.397527885,0.423456153,0.426702346,0.378274663,0.386199694,0.422929177,0.377256243,0.366944618,0.418620587,0.42098359,0.370166781,0.43433652,0.396402295,0.430481265,0.419625194,0.373550448,0.387999326,0.350271863,0.392008864,0.414740465,0.434957923,0.413295531,0.372925307,0.363001695,0.426533332,0.371903599,0.455072406,0.389067453,0.36510996,0.398293573,0.405068931,0.403368898,0.393425755,0.388672662,0.416906679,0.46916643,2020/5/7,1,UK restrictions,may,may reintroduced
4,3,0.023340277,-0.011200447,-0.078924037,-0.059312593,-0.080735362,-0.016948895,-0.029545029,-0.017820701,-0.065811155,0.004319596,-0.081264474,-0.034770692,-0.000778985,0.004296426,-0.042252846,-0.001849673,-0.084888352,-0.038036686,-0.080265203,-0.005644949,-0.058088907,-0.047721869,-0.02957852,-0.001654803,-0.065469456,0.069439298,-0.023731915,0.012671326,-0.010198833,-0.053373492,-0.024521262,-0.088384871,-0.06048624,-0.030209419,-0.022186679,-0.061874791,-0.053075324,-0.108370185,-0.049077944,-0.085815761,0.043504423,-0.03488626,-0.029278007,-0.018731185,-0.036813451,-0.079512449,-0.081493134,-0.03086058,-0.001767539,-0.040247071,2020/3/9,0,campaigning,looks like,like coronavirus
5,4,0.013632515,0.02394269,-0.022732037,-0.010394474,-0.037868655,0.001721178,-0.038310286,0.000841241,-0.012575535,-0.00945999,-0.02785656,0.015841067,0.003735758,0.008623848,-0.021911859,-0.006709019,-0.029054411,-0.017214887,-0.01893909,-0.002944771,-0.021714813,-0.025078643,-0.029020665,-0.020237178,-0.023873201,0.006532587,-0.011294614,-0.013811481,0.002203341,-0.036044374,0.000532559,-0.005456827,-0.030089564,0.026850113,0.006064332,-0.033460039,-0.026461157,-0.042939479,-0.013261799,-0.034207737,0.020996104,-0.005223053,-0.04120356,0.008964646,-0.045216514,-0.013127325,-0.026960751,-0.005604575,0.001457029,-0.017583387,2020/5/19,0,Russias Coronavirus Crisis,Got,Bad
6,5,0.948671223,0.941141111,0.946919347,0.944336236,0.944875333,0.942157206,0.945695527,0.951958715,0.938547247,0.943716909,0.942411471,0.939712201,0.948752708,0.947187038,0.948473872,0.945864685,0.932084564,0.931909607,0.944097758,0.946969486,0.945718258,0.94507539,0.938650811,0.942849736,0.933757,0.946165004,0.944593785,0.94711119,0.943954723,0.940900439,0.947816403,0.94016609,0.935505324,0.937974863,0.940871649,0.943600498,0.95324496,0.940503218,0.952765127,0.941874417,0.943561339,0.952091128,0.939763479,0.945976954,0.942268997,0.939293878,0.94314322,0.946170213,0.945973722,0.946135178,2020/4/20,0,doctors,blast,data
7,6,-0.046561518,-0.036613913,-0.060076554,-0.076026809,-0.063492499,-0.018329481,-0.041700392,-0.042203114,-0.053645413,-0.033894948,-0.046762491,-0.030456118,-0.019201678,-0.015268078,-0.108816977,-0.049556027,-0.08290837,-0.03869904,-0.093139361,-0.026679525,-0.086627899,-0.070527414,-0.047121385,-0.052757487,-0.066583477,0.025283148,-0.065292784,-0.028843864,-0.013604884,-0.071675126,-0.058483725,-0.086899161,-0.072506886,-0.054591646,-0.027034615,-0.05914141,-0.085042319,-0.089707486,-0.082943428,-0.114323064,-0.00152944,-0.049890544,-0.067736679,-0.044406258,-0.09184477,-0.075695851,-0.0459731,-0.038978634,-0.030157286,-0.054771287,2020/5/8,1,Covid 19,could kill,extra 75000 Americans
8,7,0.658196079,0.647823646,0.63946185,0.632158833,0.598272878,0.656591829,0.667112752,0.645018172,0.601337647,0.58855448,0.602186069,0.626549165,0.650462689,0.662066824,0.604595597,0.638393318,0.635583697,0.618793732,0.598801559,0.659907104,0.581775276,0.613671107,0.633273865,0.641671141,0.596822698,0.691479945,0.617474131,0.637888116,0.641545778,0.638650336,0.633296495,0.590568139,0.605714984,0.642197608,0.640251823,0.593341117,0.605510078,0.586569761,0.641102701,0.60102673,0.652722138,0.628805168,0.60887043,0.62349642,0.61910105,0.625992361,0.619338317,0.617582793,0.645168261,0.63876158,2020/6/2,1,Trump supporters,spread,Covid 19 rumors
9,8,0.356328771,0.352429996,0.331838853,0.372415761,0.340610378,0.343107648,0.340773332,0.350867508,0.354418386,0.353486417,0.310867145,0.380235889,0.342893141,0.29114148,0.315006238,0.301312174,0.33035316,0.312272472,0.276023493,0.319094529,0.205882876,0.286909669,0.301035787,0.325094252,0.286707838,0.327565158,0.24788686,0.284214476,0.312774939,0.199733085,0.369641356,0.32524508,0.254174343,0.290646217,0.307873444,0.28129754,0.29695368,0.35030622,0.305767623,0.273774213,0.241655283,0.330853461,0.296775814,0.286820375,0.207114025,0.300777473,0.230080513,0.261102592,0.29412531,0.311403962,2020/5/7,1,Its past 9 a.m.,is in,Berlin
10,9,0.324068936,0.340316867,0.307940822,0.253400279,0.277859457,0.353352914,0.33727241,0.312904444,0.288446086,0.261325737,0.292790025,0.289226766,0.366296777,0.361629718,0.231390789,0.323142903,0.300085393,0.290987369,0.242653802,0.332709362,0.283008528,0.305842913,0.326480098,0.355756441,0.266334273,0.373772287,0.283421243,0.339663694,0.340144357,0.316205336,0.287918402,0.293054319,0.277000062,0.331513687,0.308775884,0.302841404,0.272687883,0.258999683,0.314939288,0.294445787,0.364750264,0.295049698,0.2842024,0.311359037,0.288765245,0.294911233,0.336008371,0.294489274,0.353761353,0.355492265,2020/4/29,1,Trump admin,investigate,working conditions for meatpackers
